1,0810112233a1,NAP840---TEST2,56,1,472
1,083653545687,NAP840---TEST1,74,1,6130
2,083653545687,NAP840---TEST1,74,1,25724
3,081079d748a1,NAP840---TEST3,54,1,708
3,083653545687,NAP840---TEST1,72,1,8224
3,0810112233a1,NAP840---TEST2,55,1,466
4,083653545687,NAP840---TEST1,74,1,6366
6,083653545687,NAP840---TEST1,72,1,6354
6,0810112233a1,NAP840---TEST2,56,1,236
7,083653545687,NAP840---TEST1,72,1,4484
8,083653545687,NAP840---TEST1,74,1,22420
9,083653545687,NAP840---TEST1,71,1,8702
9,0810112233a1,NAP840---TEST2,55,1,1174
